support,itemsets
0.12388250319284802,frozenset({'Impossible Veg Kothu Parotta'})
0.0280970625798212,frozenset({'Impossible Dosai'})
0.002554278416347382,frozenset({'Veg Dum Biryani'})
0.21839080459770116,frozenset({'Impossible Vegetable Laba'})
0.011494252873563218,frozenset({'Bonda'})
0.05363984674329502,frozenset({'Impossible Veg Fried Rice'})
0.019157088122605363,frozenset({'Impossible Vegetable Omelette'})
0.006385696040868455,frozenset({'Cream Of Tomato Soup'})
0.001277139208173691,frozenset({'Onion Bajji'})
0.002554278416347382,frozenset({'Chocolate Pizza'})
0.002554278416347382,frozenset({'Paneer Tikka'})
0.04980842911877394,frozenset({'Impossible Schezwan Fried Rice'})
0.002554278416347382,frozenset({'6 Session'})
0.002554278416347382,frozenset({'Chapati Kurma'})
0.010217113665389528,frozenset({'Coke'})
0.002554278416347382,frozenset({'Idli'})
0.0140485312899106,frozenset({'Hot & Sour Veg Soup'})
0.005108556832694764,frozenset({'Mini Shawarma'})
0.0038314176245210726,frozenset({'Garlic Naan'})
0.001277139208173691,frozenset({'Kara Boondi'})
0.001277139208173691,frozenset({'Variety Rice - Tamarind Rice'})
0.010217113665389528,frozenset({'Sambar Vadai'})
0.0038314176245210726,frozenset({'Rava Kichadi'})
0.0038314176245210726,frozenset({'Butter Milk'})
0.001277139208173691,frozenset({'Mixed Veg '})
0.001277139208173691,frozenset({'Popcorn Shrimp'})
0.001277139208173691,frozenset({'Week End'})
0.001277139208173691,frozenset({'Butter Scotch'})
0.0038314176245210726,frozenset({'9 months'})
0.005108556832694764,frozenset({'Veg Hot & Sour Soup'})
0.008939974457215836,frozenset({'Schezwan Shawarma'})
0.002554278416347382,frozenset({'Cream of Vegetable Soup'})
0.001277139208173691,frozenset({'Madras Filter Coffee'})
0.024265644955300127,frozenset({'Rasam'})
0.002554278416347382,frozenset({'Ribbon Pakoda'})
0.001277139208173691,frozenset({'Chicken Thighs'})
0.002554278416347382,frozenset({'Chikku Milkshake'})
0.0038314176245210726,frozenset({'Plate Shawarma'})
0.021711366538952746,frozenset({'Veg Clear Soup'})
0.006385696040868455,frozenset({'Single Court'})
0.001277139208173691,frozenset({'Set Dosai Vadacurry'})
0.002554278416347382,frozenset({'Poori Masala'})
0.005108556832694764,frozenset({'Idiyappam (Weekday Dinner and Weekends)'})
0.0038314176245210726,frozenset({'Bottled Water'})
0.006385696040868455,frozenset({'Parotta Kurma'})
0.0038314176245210726,frozenset({'Rose Milk'})
0.006385696040868455,frozenset({'Gulab Jamun'})
0.001277139208173691,frozenset({'Farmers Vegetable Salad'})
0.005108556832694764,frozenset({'Cocktail Sambar Idli'})
0.007662835249042145,frozenset({'Mexican Pizza'})
0.001277139208173691,frozenset({'Cheese Dosai'})
0.001277139208173691,frozenset({'Fried Chicken Fried Rice'})
0.001277139208173691,frozenset({'Dahi Vadai'})
0.001277139208173691,frozenset({'Sweet Paan'})
0.001277139208173691,frozenset({'Bread Cheese Jam Grilled'})
0.008939974457215836,frozenset({'Classic Veg Pizza'})
0.01532567049808429,frozenset({'Garden Fresh Corn Salad'})
0.0038314176245210726,frozenset({'Ginger Ale'})
0.001277139208173691,frozenset({'Paneer Masala Dosai'})
0.001277139208173691,frozenset({'Paneer Butter Masala'})
0.001277139208173691,frozenset({'Idiyappam '})
0.001277139208173691,frozenset({'Onion Uthappam'})
0.001277139208173691,frozenset({'Mexican Veggie'})
0.005108556832694764,frozenset({'Peri Peri Chicken Noodles'})
0.002554278416347382,frozenset({'Babycorn Pepper Fries'})
0.0038314176245210726,frozenset({'Half Court'})
0.011494252873563218,frozenset({'Cream Of Vegetable Soup'})
0.0038314176245210726,frozenset({'Cream of Tomato Soup'})
0.002554278416347382,frozenset({'Cutlet Chana'})
0.001277139208173691,frozenset({'Kai Kari Kurma'})
0.005108556832694764,frozenset({'Margarita Pizza'})
0.002554278416347382,frozenset({'Ever Fresh Pizza'})
0.001277139208173691,frozenset({'Bhel Puri'})
0.005108556832694764,frozenset({'Full Court'})
0.005108556832694764,frozenset({'Soan Papadi'})
0.001277139208173691,frozenset({'Chana Masala'})
0.002554278416347382,frozenset({'Paneer Fried Rice'})
0.002554278416347382,frozenset({'Jumbo Shawarma'})
0.008939974457215836,frozenset({'Single Cheeze Topping'})
0.005108556832694764,frozenset({'Mini Thenkuzhal'})
0.001277139208173691,frozenset({'Ginger Chicken Gravy'})
0.001277139208173691,frozenset({'Mini Tiffin'})
0.001277139208173691,frozenset({'Veuve Clicquot Yellow Lbl Brut'})
0.008939974457215836,frozenset({'Tikka Shawarma'})
0.006385696040868455,frozenset({'Hot & Sour Veg. Soup'})
0.0038314176245210726,frozenset({'Medhu Vadai'})
0.001277139208173691,frozenset({'Blue Curacao'})
0.001277139208173691,frozenset({'Jeera Rice'})
0.001277139208173691,frozenset({'Schezwan Sandwich'})
0.001277139208173691,frozenset({'Bhindi Masala'})
0.005108556832694764,frozenset({'Papad'})
0.002554278416347382,frozenset({'Rasam Vadai'})
0.001277139208173691,frozenset({'Crispy Applewood Smoked Bacon Sandwhich'})
0.0038314176245210726,frozenset({'French Fries'})
0.002554278416347382,frozenset({'Andhra Muruku'})
0.0038314176245210726,frozenset({'Mango Lassi'})
0.0038314176245210726,frozenset({'Strawberry Milkshake'})
0.005108556832694764,frozenset({'Kaju Katli'})
0.002554278416347382,frozenset({'Dahi Vadai(Only On Fri / Weekend)'})
0.001277139208173691,frozenset({'Special Mixture'})
0.001277139208173691,frozenset({'Chole Bhature'})
0.005108556832694764,frozenset({'Regular Shawarma'})
0.001277139208173691,frozenset({'Onion Rava Dosai'})
0.001277139208173691,frozenset({'Chicken Egg Shawarma'})
0.001277139208173691,frozenset({'Mushroom Pepper Fries'})
0.002554278416347382,frozenset({'Variety Rice - Bisi Bele Bhath'})
0.002554278416347382,frozenset({'Open Item'})
0.001277139208173691,frozenset({'Mixed Veg. Pakoda'})
0.006385696040868455,frozenset({'Green Tea'})
0.002554278416347382,frozenset({'Sweet Corn Veg Soup'})
0.002554278416347382,frozenset({'Chilli Chicken Gravy'})
0.001277139208173691,frozenset({'Red Chilli Bbq'})
0.001277139208173691,frozenset({'Olive Pizza'})
